Gene	ENSEMBL	median (tumor)	median (normal)	log2FC	adj.p.val	Rank
CNOT8	ENSG00000155508.13	25.811	27.184	-0.072	0.0044	-2.35654732351381
CNP	ENSG00000173786.16	70.126	47.441	0.554	2.44E-23	22.6126101736613
CNPPD1	ENSG00000115649.15	74.71	54.896	0.438	9.66E-28	27.0150228735845
CNPY2	ENSG00000257727.5	191.964	110.975	0.785	3.61E-88	87.4424927980943
CNPY3	ENSG00000137161.16	69.572	49.705	0.477	3.47E-31	30.4596705252091
CNPY4	ENSG00000166997.7	6.6	11.659	-0.736	4.62E-42	-41.3353580244439
CNR1	ENSG00000118432.12	0.17	1.05	-0.809	1.7E-70	-69.7695510786217
CNRIP1	ENSG00000119865.8	4.955	14.69	-1.398	9.47E-70	-69.0236500209967
CNST	ENSG00000162852.13	6.965	7.395	-0.076	0.035	-1.45593195564972
CNTD1	ENSG00000176563.9	2.515	2.795	-0.111	0.825	-0.083546051450075
CNTD2	ENSG00000105219.8	1.04	1.025	0.011	0.244	0.612610173661271
CNTF	ENSG00000242689.2	0.12	0.21	-0.112	3.38E-15	-14.4710832997223
CNTFR	ENSG00000122756.14	0.95	4.964	-1.613	3.27E-79	-78.4854522473397
CNTLN	ENSG00000044459.14	2.125	2.7	-0.244	0.0458	-1.33913452199613
CNTN1	ENSG00000018236.14	4.595	7.795	-0.653	2.83E-12	-11.5482135644757
CNTN2	ENSG00000184144.9	0.07	0.23	-0.201	2.62E-32	-31.5816987086803
CNTN3	ENSG00000113805.8	4.045	5.575	-0.382	2.64E-12	-11.5783960731302
CNTN4	ENSG00000144619.14	1.98	2.86	-0.373	7.74E-07	-6.11125903931711
CNTN4-AS1	ENSG00000237990.3	0	0.03	-0.043	1.22E-12	-11.9136401693253
CNTN5	ENSG00000149972.10	0.04	0.03	0.014	0.437	0.359518563029578
CNTN6	ENSG00000134115.12	0.01	0.06	-0.07	1.43E-26	-25.8446639625349
CNTNAP1	ENSG00000108797.11	1.805	6.525	-1.424	1.24E-69	-68.9065783148378
CNTNAP2	ENSG00000174469.17	14.15	3.995	1.601	7.12E-31	30.1475200063631
CNTNAP3	ENSG00000106714.17	1.025	1.735	-0.434	2.39E-08	-7.62160209905186
CNTNAP3B	ENSG00000154529.14	1.185	3.735	-1.116	8.55E-56	-55.0680338852718
CNTNAP3P1	ENSG00000273509.1	0.02	0	0.029	0.0565	1.24795155218056
CNTNAP3P2	ENSG00000276386.1	0.09	0.19	-0.127	5.53E-19	-18.2572748686953
CNTNAP4	ENSG00000152910.18	0.01	0.06	-0.07	4.87E-11	-10.3124710387854
CNTRL	ENSG00000119397.16	3.385	6.64	-0.801	5.77E-50	-49.2388241868443
CNTROB	ENSG00000170037.13	19.81	30.822	-0.613	3.69E-32	-31.4329736338409
COA1	ENSG00000106603.17	28.6	27.425	0.058	0.375	0.425968732272281
COA3	ENSG00000183978.7	132.417	94.906	0.476	5.54E-18	17.2564902352716
COA4	ENSG00000181924.6	79.321	52.744	0.58	1.95E-64	63.7099653886375
COA5	ENSG00000183513.8	33.886	36.605	-0.108	0.00144	-2.84163750790475
COA6	ENSG00000168275.14	41.429	26.235	0.64	7.24E-39	38.1402614338029
COA7	ENSG00000162377.5	5.565	3.155	0.66	2.51E-33	32.600326278519
COASY	ENSG00000068120.14	57.875	54.704	0.08	0.0175	1.75696195131371
COBL	ENSG00000106078.17	19.68	12.86	0.577	6.39E-15	14.1944991418416
COBLL1	ENSG00000082438.15	28.37	19.83	0.496	2.14E-08	7.66958622665081
COCH	ENSG00000100473.15	11.965	20.924	-0.758	9.69E-08	-7.01367622294923
COG1	ENSG00000166685.11	25.59	33.185	-0.362	5.64E-16	-15.2487208960167
COG2	ENSG00000135775.13	13.52	14.23	-0.069	0.00181	-2.74232142513082
COG3	ENSG00000136152.14	30.83	24.524	0.319	2.08E-06	5.68193666503724
COG4	ENSG00000103051.18	29.49	31.055	-0.072	0.0113	-1.94692155651658
COG5	ENSG00000164597.13	21.915	14.6	0.555	2.25E-08	7.64781748188864
COG6	ENSG00000133103.16	8.52	7.345	0.19	0.487	0.312471038785366
COG7	ENSG00000168434.12	19.11	32.225	-0.724	1.1E-47	-46.9586073148418
COG8	ENSG00000213380.13	13.89	13.79	0.01	0.94	0.026872146400301
COIL	ENSG00000121058.4	9.105	8.22	0.132	0.12	0.920818753952375
COL10A1	ENSG00000123500.9	2.13	0.1	1.509	1.13E-25	24.9469215565166
COL11A2	ENSG00000204248.10	0.31	1.515	-0.941	2.57E-50	-49.5900668766687
COL12A1	ENSG00000111799.20	15.455	15.54	-0.007	0.228	-0.642065152999546
COL13A1	ENSG00000197467.13	2.04	7.681	-1.514	8.58E-65	-64.0665127121513
COL14A1	ENSG00000187955.11	10.085	23.94	-1.17	3.2E-23	-22.4948500216801
COL15A1	ENSG00000204291.10	13.025	19.134	-0.522	1.66E-05	-4.77989191195995
COL16A1	ENSG00000084636.17	21.976	123.815	-2.442	3.8E-75	-74.4202164033832
COL17A1	ENSG00000065618.16	4.65	14.32	-1.439	7.8E-24	-23.1079053973095
COL18A1	ENSG00000182871.14	28.406	83.074	-1.516	1.07E-63	-62.9706162223148
COL18A1-AS1	ENSG00000183535.9	0	0.02	-0.029	2.18E-43	-42.6615435063954
COL19A1	ENSG00000082293.12	0.01	0.06	-0.07	1.21E-12	-11.9172146296836
COL1A1	ENSG00000108821.13	69.439	139.855	-1	2.09E-10	-9.67985371388895
COL1A2	ENSG00000164692.17	117.026	201.613	-0.78	5.04E-13	-12.2975694635545
COL20A1	ENSG00000101203.16	0.01	0.065	-0.076	6.49E-18	-17.1877553031996
COL21A1	ENSG00000124749.16	1.115	4.65	-1.418	5.78E-87	-86.2380721615795
COL22A1	ENSG00000169436.16	2.525	3.42	-0.326	0.000793	-3.1007268126824
COL23A1	ENSG00000050767.15	1.165	6.07	-1.707	7.25E-81	-80.139661993429
COL24A1	ENSG00000171502.14	0.09	0.46	-0.422	5.97E-61	-60.2240256688706
COL25A1	ENSG00000188517.14	0.13	0.29	-0.191	0.00212	-2.67366413907125
COL26A1	ENSG00000160963.13	4.635	2.16	0.834	6.12E-18	17.2132485778544
COL27A1	ENSG00000196739.14	2.045	25.195	-3.105	9.76E-98	-97.0105501823333
COL28A1	ENSG00000215018.9	2.27	3.84	-0.566	2.02E-06	-5.69464863055338
COL2A1	ENSG00000139219.17	0.93	0.18	0.71	1.95E-16	15.7099653886375
COL3A1	ENSG00000168542.12	69.98	102.789	-0.548	7.26E-05	-4.13906337929991
COL4A1	ENSG00000187498.14	27.475	44.426	-0.674	9.02E-13	-12.0447934624581
COL4A2	ENSG00000134871.17	50.584	104.039	-1.026	2.15E-26	-25.6675615400844
COL4A2-AS1	ENSG00000232814.2	0	0.515	-0.599	1.89E-69	-68.7235381958268
COL4A2-AS2	ENSG00000224821.5	0	0.065	-0.091	2.78E-41	-40.5559552040819
COL4A3	ENSG00000169031.18	0.735	5.748	-1.96	3.01E-87	-86.5214335044062
COL4A3BP	ENSG00000113163.15	14.545	12.814	0.17	0.51	0.292429823902064
COL4A4	ENSG00000081052.11	0.79	2.84	-1.101	6.54E-64	-63.1844222516757
COL4A5	ENSG00000188153.12	11.945	33.894	-1.431	3.09E-68	-67.5100415205752
COL4A6	ENSG00000197565.15	2.075	14.2	-2.305	7.57E-94	-93.1209041204999
COL5A1	ENSG00000130635.15	11.43	40.547	-1.741	1.4E-43	-42.8538719643218
COL5A2	ENSG00000204262.11	4.19	10.135	-1.101	1.83E-20	-19.7375489102696
COL5A3	ENSG00000080573.6	1.145	11.945	-2.593	3.57E-86	-85.4473317838878
COL6A1	ENSG00000142156.14	53.334	316.42	-2.546	1.93E-85	-84.7144426909922
COL6A2	ENSG00000142173.14	113.909	453.481	-1.984	1.02E-69	-68.9913998282381
COL6A3	ENSG00000163359.15	19.78	51.66	-1.342	2.34E-33	-32.6307841425899
COL6A4P1	ENSG00000230524.8	0.01	0.02	-0.014	1.14E-09	-8.94309514866353
COL6A4P2	ENSG00000228252.8	0.07	0.565	-0.548	6.16E-56	-55.2104192878356
COL6A6	ENSG00000206384.10	0.01	0.02	-0.014	0.00509	-2.29328221766324
COL7A1	ENSG00000114270.15	11.18	98.349	-3.028	7.9E-56	-55.1023729087096
COL8A1	ENSG00000144810.15	7.275	8.78	-0.241	0.0899	-1.04624030826677
COL8A2	ENSG00000171812.10	3.185	5.705	-0.68	6.58E-18	-17.181774106386
COL9A1	ENSG00000112280.15	0.7	4.09	-1.582	1.01E-30	-29.9956786262174
COL9A2	ENSG00000049089.13	43.361	16.915	1.308	4.15E-20	19.3819519032879
COL9A3	ENSG00000092758.15	2.16	5.11	-0.951	5.4E-20	-19.267606240177
COLCA1	ENSG00000196167.9	18.08	16.263	0.144	0.0208	1.68193666503724
COLCA2	ENSG00000214290.7	2.38	8.655	-1.514	1.52E-112	-111.818156412055
COLEC10	ENSG00000184374.2	0.02	0.05	-0.042	3.38E-14	-13.4710832997223
COLEC11	ENSG00000118004.17	1.43	2.26	-0.424	2.37E-08	-7.6252516539899
COLEC12	ENSG00000158270.11	19.375	6.094	1.522	3.11E-45	44.5072396109732
COLGALT1	ENSG00000130309.10	20.475	28.19	-0.443	1.19E-20	-19.9244530386075
COLGALT2	ENSG00000198756.10	1.145	2.545	-0.725	3.36E-31	-30.4736607226102
COLQ	ENSG00000206561.12	1.395	3.97	-1.053	2.67E-47	-46.5734887386354
COMMD1	ENSG00000173163.10	50.876	35.645	0.501	3.66E-29	28.4365189146056
COMMD10	ENSG00000145781.8	22.46	18.95	0.234	0.13	0.886056647693163
COMMD2	ENSG00000114744.8	10.385	10.725	-0.042	0.0157	-1.80410034759077
COMMD3	ENSG00000148444.15	53.485	55.016	-0.04	0.381	-0.419075024324381
COMMD3-BMI1	ENSG00000269897.5	18.66	11.639	0.637	3.65E-06	5.43770713554353
COMMD4	ENSG00000140365.15	75.363	69.925	0.107	4.4E-05	4.35654732351381
COMMD5	ENSG00000170619.9	25.115	20.735	0.265	2E-18	17.698970004336
COMMD6	ENSG00000188243.12	186.534	191.725	-0.039	0.124	-0.906578314837765
COMMD7	ENSG00000149600.11	55.266	50.23	0.135	0.00101	2.99567862621736
COMMD8	ENSG00000169019.10	8.685	8.51	0.026	0.285	0.54515513999149
COMMD9	ENSG00000110442.11	37.135	26.84	0.454	6.38E-42	41.1951793212788
COMP	ENSG00000105664.10	14.39	3.71	1.708	8.14E-17	16.0893755951108
COMT	ENSG00000093010.11	176.557	123.502	0.512	3.46E-18	17.4609239012072
COMTD1	ENSG00000165644.10	15.975	18.405	-0.193	0.396	-0.402304814074488
COPA	ENSG00000122218.14	73.355	48.341	0.592	1.24E-10	9.90657831483776
COPB1	ENSG00000129083.12	77.95	45.835	0.753	4.31E-30	29.3655227298393
COPB2	ENSG00000184432.9	100.61	59.358	0.751	7.39E-27	26.1313555616052
COPE	ENSG00000105669.12	233.333	158.007	0.559	1.54E-44	43.8124792791635
COPG1	ENSG00000181789.14	281.608	142.561	0.977	1.79E-77	76.7471469690201
COPG2	ENSG00000158623.14	14.325	9.005	0.615	8.99E-14	13.0462403082668
COPRS	ENSG00000172301.10	77.39	61.879	0.318	1.06E-11	10.9746941347352
COPS2	ENSG00000166200.14	32.039	28.19	0.179	0.165	0.782516055786094
COPS3	ENSG00000141030.12	40.665	37.156	0.127	0.25	0.602059991327962
COPS4	ENSG00000138663.8	27.704	24.294	0.182	0.52	0.283996656365201
COPS5	ENSG00000121022.13	44.854	38.33	0.221	4.24E-11	10.3726341434073
COPS6	ENSG00000168090.9	116.755	102.234	0.19	1.04E-14	13.9829666607012
COPS7A	ENSG00000111652.9	64.246	56.375	0.185	0.141	0.85078088734462
COPS7B	ENSG00000144524.17	21.475	37.62	-0.781	4.54E-59	-58.3429441471429
COPS8	ENSG00000198612.10	33.785	30.854	0.127	0.099	1.00436480540245
COPZ1	ENSG00000111481.9	151.538	86.025	0.81	1.72E-62	61.7644715530925
COPZ2	ENSG00000005243.9	17.37	43.87	-1.288	1.4E-54	-53.8538719643218
COQ10A	ENSG00000135469.13	6.8	16.325	-1.151	3.02E-85	-84.5199930570429
COQ10B	ENSG00000115520.8	14.145	13.54	0.059	0.457	0.34008379993015
COQ2	ENSG00000173085.13	9.325	6.42	0.477	1.7E-25	24.7695510786217
COQ3	ENSG00000132423.10	9.285	8.54	0.108	0.00804	2.09474395125155
COQ4	ENSG00000167113.10	61.32	52.764	0.213	2E-09	8.69897000433602
COQ5	ENSG00000110871.14	26.434	20.609	0.344	4.6E-16	15.3372421683184
COQ6	ENSG00000119723.15	25.27	26.215	-0.051	0.0864	-1.06348625752111
COQ7	ENSG00000167186.10	21.925	14.59	0.556	3.79E-33	32.4213607900319
COQ9	ENSG00000088682.13	43.835	54.125	-0.298	1.39E-27	-26.8569851997459
CORIN	ENSG00000145244.11	1.19	2.515	-0.683	1.34E-09	-8.87289520163519
CORO1A	ENSG00000102879.15	12.18	15.09	-0.288	0.00185	-2.73282827159699
CORO1B	ENSG00000172725.13	212.172	112.86	0.905	6.05E-58	57.2182446253475
CORO1C	ENSG00000110880.10	17.645	32.89	-0.862	1.34E-43	-42.8728952016352
CORO2A	ENSG00000106789.12	20.554	9.7	1.01	5.3E-36	35.2757241303992
CORO2B	ENSG00000103647.12	0.59	3.475	-1.493	1.57E-117	-116.804100347591
CORO6	ENSG00000167549.18	1.6	26.815	-3.419	2.76E-82	-81.5590909179348
CORO7	ENSG00000262246.5	9.405	22.915	-1.201	1.17E-44	-43.9318141382538
CORO7-PAM16	ENSG00000103426.12	0.09	0.14	-0.065	1.23E-06	-5.9100948885606
CORT	ENSG00000241563.3	0.25	0.46	-0.224	3.39E-24	-23.4698003017969
COTL1	ENSG00000103187.7	62.95	48.569	0.367	1.92E-07	6.71669877129645
COX10	ENSG00000006695.10	6.37	6.11	0.052	0.964	0.015922966097169
COX10-AS1	ENSG00000236088.9	5.44	6.95	-0.304	3.33E-09	-8.47755576649368
COX11	ENSG00000166260.10	28.784	33.94	-0.23	1.2E-08	-7.92081875395238
COX14	ENSG00000178449.8	75.029	73.71	0.025	0.783	0.106238237942057
COX15	ENSG00000014919.12	20.8	19.145	0.114	0.0331	1.48017200622428
COX16	ENSG00000133983.14	77.345	38.39	0.992	1.09E-67	66.9625735020594
COX17	ENSG00000138495.6	98.615	64.94	0.595	2.36E-34	33.6270879970299
COX18	ENSG00000163626.16	9.62	6.18	0.565	5.05E-13	12.2967086218813
COX19	ENSG00000240230.5	4.1	7.01	-0.651	3.03E-44	-43.5185573714977
COX20	ENSG00000203667.9	50.112	43.846	0.189	0.000213	3.67162039656126
COX20P1	ENSG00000213025.2	0.27	0.485	-0.226	6.54E-12	-11.1844222516757
COX4I1	ENSG00000131143.8	583.443	459.938	0.342	8.95E-06	5.04817696468409
COX4I2	ENSG00000131055.4	3.14	8.79	-1.242	3.82E-38	-37.4179366370883
COX5A	ENSG00000178741.11	229.427	140.716	0.701	2E-67	66.698970004336
COX5B	ENSG00000135940.6	202.727	170.065	0.252	4.78E-12	11.3205721033879
COX5BP7	ENSG00000226024.1	0.025	0.42	-0.47	1.48E-22	-21.829738284605
COX6A1	ENSG00000111775.2	562.69	338.907	0.73	3.01E-58	57.5214335044062
COX6A1P2	ENSG00000226976.3	5.525	4.755	0.181	0.00422	2.37468754903833
COX6A2	ENSG00000156885.5	0.08	0.61	-0.576	6.96E-05	-4.15739076038944
COX6B1	ENSG00000126267.8	352.638	227.409	0.631	1.65E-53	52.7825160557861
COX6B2	ENSG00000160471.12	0.1	0.405	-0.353	1.54E-38	-37.8124792791635
COX6C	ENSG00000164919.10	321.404	290.893	0.143	8.54E-07	6.068542129311
COX7A1	ENSG00000161281.10	41.146	79.964	-0.942	1.66E-23	-22.7798919119599
COX7A2	ENSG00000112695.11	397.73	227.078	0.806	9.98E-53	52.0008694587126
COX7A2L	ENSG00000115944.14	138.865	78.65	0.812	3.21E-54	53.4934949675951
COX7A2P1	ENSG00000258626.2	2.915	2.39	0.208	0.0474	1.32422165832592
COX7B	ENSG00000131174.4	134.479	76.111	0.813	2.76E-57	56.5590909179348
COX7C	ENSG00000127184.10	834.055	513.136	0.7	1.09E-44	43.9625735020594
COX7CP1	ENSG00000235957.1	0.475	3.429	-1.586	4.31E-37	-36.3655227298393
COX8A	ENSG00000176340.3	526.959	368.954	0.513	2.96E-32	31.5287082889411
CP	ENSG00000047457.13	9.39	9.94	-0.074	0.945	-0.024568191490737
CPA1	ENSG00000091704.9	0.1	1.135	-0.957	8.88E-79	-78.0515870342214
CPA2	ENSG00000158516.11	0.02	0.265	-0.31	3.79E-44	-43.4213607900319
CPA3	ENSG00000163751.3	5.745	10.513	-0.771	4.69E-13	-12.3288271572849
CPA4	ENSG00000128510.10	0.05	0.16	-0.144	4.56E-27	-26.3410351573356
CPA6	ENSG00000165078.11	0.99	3.935	-1.31	2.83E-27	-26.5482135644757
CPAMD8	ENSG00000160111.12	13.84	49.089	-1.755	3.19E-55	-54.4962093169428
CPB1	ENSG00000153002.11	2.31	2.39	-0.034	0.144	-0.84163750790475
CPB2	ENSG00000080618.13	0.02	0.03	-0.014	4.95E-06	-5.30539480106643
CPB2-AS1	ENSG00000235903.7	0.23	0.205	0.03	0.174	0.7594507517174
CPD	ENSG00000108582.11	18.936	10.68	0.771	3.87E-17	16.4122890349811
CPE	ENSG00000109472.13	259.474	161.439	0.681	1.72E-07	6.76447155309245
CPEB1	ENSG00000214575.9	0.65	2.375	-1.032	3.73E-72	-71.4282911681913
CPEB1-AS1	ENSG00000259462.2	0.01	0.12	-0.149	4.45E-70	-69.3516399890191
CPEB2	ENSG00000137449.15	4.68	5.945	-0.29	2.66E-10	-9.57511836336893
CPEB2-AS1	ENSG00000247624.6	0.01	0.03	-0.028	7.82E-23	-22.1067932469402
CPEB3	ENSG00000107864.14	3.08	2.885	0.071	0.235	0.628932137728264
CPEB4	ENSG00000113742.12	6.585	7.705	-0.199	4.06E-05	-4.39147396642281
CPED1	ENSG00000106034.17	5.445	9.875	-0.755	9.94E-16	-15.0026136156027
CPLX1	ENSG00000168993.14	3.505	8.499	-1.076	1.31E-15	-14.8827287043442
CPLX2	ENSG00000145920.14	0.09	0.13	-0.052	0.23	-0.638272163982407
CPLX3	ENSG00000213578.5	4.77	35.824	-2.674	3.95E-25	-24.4034029043735
CPLX4	ENSG00000166569.8	0.01	0	0.014	0.543	0.265200170411153
CPM	ENSG00000135678.11	8.335	13.251	-0.61	0.000224	-3.64975198166584
CPNE1	ENSG00000214078.11	91.75	145.411	-0.659	6.44E-29	-28.1911141326402
CPNE2	ENSG00000140848.16	20.23	25.98	-0.346	6.47E-06	-5.1890957193313
CPNE3	ENSG00000085719.11	40.374	23.67	0.746	1.81E-16	15.7423214251308
CPNE4	ENSG00000196353.11	51.504	34.619	0.56	3.64E-14	13.4388986163509
CPNE5	ENSG00000124772.11	0.8	3.86	-1.433	6.51E-70	-69.1864190114318
CPNE6	ENSG00000100884.9	0.725	2.98	-1.206	4.95E-38	-37.3053948010664
CPNE7	ENSG00000178773.14	2.875	1.67	0.537	4.5E-09	8.34678748622466
CPNE8	ENSG00000139117.13	1.37	3.4	-0.893	2.07E-46	-45.6840296545431
CPNE9	ENSG00000144550.12	0.05	0.09	-0.054	0.007	-2.15490195998574
CPO	ENSG00000144410.4	0.29	0.615	-0.324	5.6E-37	-36.2518119729938
CPOX	ENSG00000080819.6	6.735	7.695	-0.169	1.45E-05	-4.83863199776503
CPPED1	ENSG00000103381.11	7.66	7.785	-0.021	0.00853	-2.06905096883248
CPQ	ENSG00000104324.15	26.495	29.768	-0.162	3.71E-06	-5.43062609038495
CPS1	ENSG00000021826.14	0.25	0.745	-0.481	0.0546	-1.26280735729526
CPSF1	ENSG00000071894.14	53.955	105.591	-0.956	5.45E-19	-18.2636034977234
CPSF1P1	ENSG00000214076.3	1.395	1.5	-0.062	0.178	-0.749579997691106
CPSF2	ENSG00000165934.12	14.35	9.985	0.483	0.00025	3.60205999132796
CPSF3	ENSG00000119203.13	17.15	12.14	0.466	1.91E-31	30.7189666327523
CPSF3L	ENSG00000127054.18	76.224	151.775	-0.984	4.84E-43	-42.3151546383556
CPSF4	ENSG00000160917.14	21.045	26.56	-0.322	5.95E-17	-16.2254830342715
CPSF4L	ENSG00000187959.9	0	0.045	-0.063	1.73E-09	-8.76195389687121
CPSF6	ENSG00000111605.16	26.21	21.14	0.297	5.25E-07	6.27984069659404
CPSF7	ENSG00000149532.15	36.365	53.193	-0.536	6.92E-22	-21.1598939055432
CPT1A	ENSG00000110090.12	21.785	16.545	0.377	0.00417	2.37986394502624
CPT1B	ENSG00000205560.12	11.255	22.461	-0.937	3.65E-08	-7.43770713554353
CPT1C	ENSG00000169169.14	1.52	6.809	-1.632	1.21E-79	-78.9172146296836
CPT2	ENSG00000157184.5	18.445	9.64	0.87	2.18E-38	37.6615435063954
CPTP	ENSG00000224051.6	22.505	19.28	0.213	9.69E-07	6.01367622294923
CPVL	ENSG00000106066.13	11.915	12.385	-0.052	0.564	-0.248720896016658
CPXM1	ENSG00000088882.7	3.12	6.335	-0.832	7.84E-18	-17.1056839373156
CPXM2	ENSG00000121898.12	6.995	7.76	-0.132	0.097	-1.01322826573376
CPZ	ENSG00000109625.18	5.49	5.02	0.108	0.632	0.199282921717615
CR1	ENSG00000203710.10	0.1	0.185	-0.107	4.38E-06	-5.3585258894959
CR1L	ENSG00000197721.16	0.11	0.07	0.053	0.0282	1.54975089168064
CR2	ENSG00000117322.16	0.04	0.03	0.014	0.172	0.764471553092451
CR392000.1	ENSG00000279813.1	0.02	0.04	-0.028	0.00601	-2.22112552799726
CR848007.2	ENSG00000170165.5	0	0.02	-0.029	1.46E-06	-5.83564714421556
CRABP1	ENSG00000166426.7	0.46	1.45	-0.747	2.05E-17	-16.6882461389442
CRABP2	ENSG00000143320.8	14.185	33.136	-1.169	7.11E-14	-13.1481303992702
CRACR2A	ENSG00000130038.9	6.6	7.65	-0.187	0.0372	-1.4294570601181
CRACR2B	ENSG00000177685.16	91.667	55.056	0.725	2.69E-11	10.5702477199976
CRADD	ENSG00000169372.12	15.85	14.193	0.149	0.094	1.0268721464003
CRAMP1L	ENSG00000007545.15	5.54	11.955	-0.986	6.91E-33	-32.1605219526258
CRAT	ENSG00000095321.16	73.531	48.91	0.578	1.32E-14	13.8794260687942
CRB1	ENSG00000134376.14	0.03	0.07	-0.055	6.17E-20	-19.2097148359668
CRB2	ENSG00000148204.11	0.03	0.04	-0.014	0.435	-0.361510743045363
CRB3	ENSG00000130545.15	28.159	11.985	1.167	4.65E-70	69.33254704711
CRBN	ENSG00000113851.13	19.339	22.22	-0.191	6.63E-09	-8.17848647159523
CRCP	ENSG00000241258.6	20.396	16.375	0.3	3.8E-07	6.42021640338319
CRCT1	ENSG00000169509.5	0	0.095	-0.131	4.26E-35	-34.3705904008973
CREB1	ENSG00000118260.14	8.745	8.52	0.034	0.407	0.39040559077478
CREB3	ENSG00000107175.10	66.07	61.601	0.099	0.461	0.336299074610352
CREB3L1	ENSG00000157613.10	148.101	60.805	1.27	1.18E-44	43.9281179926939
CREB3L2	ENSG00000182158.14	19.835	17.585	0.165	0.407	0.39040559077478
CREB3L3	ENSG00000060566.13	0	0.02	-0.029	0.00357	-2.44733178388781
CREB3L4	ENSG00000143578.15	260.032	122.14	1.084	1.97E-60	59.7055337738384
CREB5	ENSG00000146592.16	0.59	1.615	-0.718	1.22E-37	-36.9136401693253
CREBBP	ENSG00000005339.12	14.095	19.045	-0.409	2.42E-11	-10.6161846340196
CREBL2	ENSG00000111269.2	26.21	20.385	0.348	0.00632	2.19928292171761
CREBRF	ENSG00000164463.12	5.015	8.185	-0.611	1.8E-25	-24.7447274948967
CREBZF	ENSG00000137504.13	20.854	39.125	-0.877	2.78E-31	-30.5559552040819
CREG1	ENSG00000143162.7	56.885	53.96	0.075	0.905	0.043351420794797
CRELD1	ENSG00000163703.17	58.114	61.654	-0.084	0.00466	-2.33161408331
CRELD2	ENSG00000184164.14	56.049	39.494	0.494	1.67E-16	15.7772835288524
CREM	ENSG00000095794.19	19.935	31.284	-0.625	2.3E-24	-23.6382721639824
CRHBP	ENSG00000145708.10	0.545	1.215	-0.52	2.74E-20	-19.5622494371796
CRHR1	ENSG00000120088.14	0.33	0.825	-0.456	1.33E-36	-35.8761483590329
CRHR1-IT1	ENSG00000204650.13	12.865	19.405	-0.557	1.45E-25	-24.838631997765
CRHR2	ENSG00000106113.18	0.03	0.17	-0.184	6.66E-26	-25.1765257708297
CRIM1	ENSG00000150938.9	13.615	18.219	-0.395	6.43E-09	-8.19178902707578
CRIP1	ENSG00000213145.9	31.68	36.308	-0.191	0.129	-0.889410289700751
CRIP2	ENSG00000182809.10	74.094	117.738	-0.661	5.86E-14	-13.2321023839819
CRIP3	ENSG00000146215.13	1.26	6.845	-1.795	4.53E-73	-72.3439017979872
CRIPAK	ENSG00000179979.8	3.41	9.47	-1.247	2.02E-40	-39.6946486305534
CRIPT	ENSG00000119878.5	10.67	8.024	0.371	1.78E-19	18.7495799976911
CRISP2	ENSG00000124490.13	0.22	0.545	-0.341	5.25E-05	-4.27984069659404
CRISP3	ENSG00000096006.11	8.305	0.35	2.785	2.68E-18	17.5718652059712
CRISPLD1	ENSG00000121005.8	9.96	5.41	0.774	1.34E-07	6.87289520163519
CRISPLD2	ENSG00000103196.11	27.949	78.118	-1.45	8.52E-45	-44.0695604052333
CRK	ENSG00000167193.7	21.71	21.375	0.021	0.715	0.145693958198919
CRKL	ENSG00000099942.12	15.595	15.55	0.004	0.195	0.709965388637482
CRLF1	ENSG00000006016.10	3.395	3.7	-0.097	0.127	-0.896196279044043
CRLF2	ENSG00000205755.10	0.05	0.11	-0.08	1.74E-20	-19.7594507517174
CRLF3	ENSG00000176390.11	4.055	4.635	-0.157	0.000166	-3.77989191195994
CRLS1	ENSG00000088766.11	65.716	45.725	0.514	2.29E-18	17.6401645176601
CRMP1	ENSG00000072832.14	3.58	9.237	-1.16	2.28E-44	-43.6420651529996
CRNDE	ENSG00000245694.8	28.635	20.049	0.494	6.48E-19	18.1884249941294
CRNKL1	ENSG00000101343.14	25.31	14.48	0.765	5.63E-72	71.2494916051486
CRNN	ENSG00000143536.7	0	0.25	-0.322	3.78E-42	-41.4225082001628
CROCC	ENSG00000058453.16	11.025	26.664	-1.202	4.61E-31	-30.3362990746103
CROCC2	ENSG00000226321.5	0.01	0.015	-0.007	0.0292	-1.53461714855158
CROCCP2	ENSG00000282056.1	3.255	5.045	-0.507	7.84E-17	-16.1056839373156
CROCCP3	ENSG00000080947.14	1.825	5.975	-1.304	4.76E-44	-43.3223930472795
CROCCP4	ENSG00000227684.2	0.09	0.13	-0.052	6.47E-09	-8.1890957193313
CROT	ENSG00000005469.11	19.281	17.99	0.095	0.388	0.411168274405793
CRP	ENSG00000132693.12	0.02	0.15	-0.173	1.47E-18	-17.8326826652518
CRTAC1	ENSG00000095713.13	0.7	1.89	-0.765	4.77E-31	-30.3214816209599
CRTAM	ENSG00000109943.8	0.25	0.2	0.059	0.436	0.360513510731414
CRTAP	ENSG00000170275.14	84.5	114.047	-0.428	1.24E-16	-15.9065783148378
CRTC1	ENSG00000105662.15	8.95	10.41	-0.198	2.25E-05	-4.64781748188864
CRTC2	ENSG00000160741.16	22.54	45.58	-0.985	4.93E-67	-66.3071530807228
CRTC3	ENSG00000140577.15	10.92	18.794	-0.732	1.43E-45	-44.8446639625349
CRTC3-AS1	ENSG00000259736.1	0.38	0.18	0.226	1.58E-24	23.8013429130456
CRY1	ENSG00000008405.11	10.565	11.385	-0.099	0.000589	-3.2298847052129
CRY2	ENSG00000121671.11	17.845	28.844	-0.663	4.62E-36	-35.3353580244439
